Mese,Giorno,Data_n,Data,Ora,Luogo,Feriti,Tipo_Sinistro,lat,lng,geocoding,fid,UPL,UPL_nome,Quartiere,circoscrizione,Id_Quartiere
Settembre,Lunedi,"19",19/09/2022,15:30:00,VIA PARTANNA MONDELLO intersezione VIA CHIMERA,"1",F,38.195181,13.30611,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Settembre,Giovedì,"29",29/09/2022,14:30:00,VIALE PRINCIPE DI SCALEA intersezione con VIA TETI,"1",F,38.205658,13.324024,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Ottobre,Giovedì,"6",06/10/2022,09:30:00,VIALE PRINCIPE DI SCALEA intersezione VIA MONDELLO,"1",F,38.206034,13.323909,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Ottobre,Giovedì,"6",06/10/2022,15:00:00,VIALE DELL'OLIMPO altezza del civico 30/B,"0",C,38.188893,13.307032,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Ottobre,Sabato,"8",08/10/2022,12:40:00,VIALE VENERE intersezione PIAZZA CASTELFORTE,"1",F,38.188867,13.322692,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Ottobre,Giovedì,"13",13/10/2022,16:45:00,VIALE REGINA ELENA nr. 53,"1",F,38.198376,13.329855,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Ottobre,Lunedi,"17",17/10/2022,13:50:00,VIA IANDOLINO LORENZO altezza del civico 20,"1",F,38.196917,13.313588,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Ottobre,Martedì,"25",25/10/2022,11:15:00,VIALE REGINA ELENA altezza del civico 15,"1",F,38.203693,13.325414,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Ottobre,Martedì,"25",25/10/2022,21:15:00,LUNGOMARE COLOMBO CRISTOFORO altezza del civico 3070,"1",F,38.190326,13.358646,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Ottobre,Giovedì,"27",27/10/2022,17:00:00,VIA MONDELLO altezza del civico 13,"1",F,38.205848,13.323671,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Novembre,Mercoledì,"16",16/11/2022,12:00:00,VIA IANDOLINO LORENZO altezza del civico 56,"0",C,38.196573,13.312567,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Novembre,Lunedi,"21",21/11/2022,17:15:00,VIALE DELL'OLIMPO altezza (spec.) 5,"1",F,38.188887,13.319376,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Novembre,Venerdì,"25",25/11/2022,17:00:00,VIA ASTEROPE intersezione con VIA PAZIENZA,"1",F,38.200117,13.318264,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Novembre,Venerdì,"25",25/11/2022,20:09:00,VIALE REGINA ELENA di fronte al civico 39,"1",F,38.199561,13.328472,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Novembre,Domenica,"27",27/11/2022,07:00:00,VIALE MARGHERITA DI SAVOIA in prossimità di .,"0",C,38.186179,13.333362,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Novembre,Domenica,"27",27/11/2022,07:00:00,VIALE GALATEA altezza del civico 40,"0",C,38.198656,13.319095,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Dicembre,Mercoledì,"7",07/12/2022,18:25:00,VIA CASTELFORTE altezza del civico 101/c,"0",C,38.186857,13.323641,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Dicembre,Domenica,"11",11/12/2022,12:50:00,LUNGOMARE COLOMBO CRISTOFORO intersezione con VIALE PRINCIPESSA MARIA,"2",F,38.195662,13.33699,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Dicembre,Giovedì,"15",15/12/2022,19:00:00,VIA NESTORE pressi VIA AIACE,"0",C,38.196687,13.301897,si,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Dicembre,Venerdì,"16",16/12/2022,07:20:00,VIA MATTEI altezza del civico 48,"0",C,38.19079,13.321928,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Dicembre,Domenica,"18",18/12/2022,14:00:00,LUNGOMARE COLOMBO CRISTOFORO intersezione con VIA BARBARIGO AGOSTINO,"1",F,38.190612,13.345304,,"1","50",Partanna Mondello,Partanna Mondello,VII,"22"
Gennaio,Venerdì,"28",28/01/2022,07:30:00,VIA BASILE ERNESTO altezza (spec.) raiti,"1",F,38.097343,13.345625,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Gennaio,Lunedi,"31",31/01/2022,14:15:00,VIA BASILE ERNESTO altezza (inters.) VIA CAU LUSSORIO,"1",F,38.094962,13.341325,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Febbraio,Venerdì,"11",11/02/2022,13:15:00,VIA ARTALE VITO GEN. intersezione con LARGO SANTORO ENRICO,"1",F,38.098979,13.34859,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Febbraio,Venerdì,"11",11/02/2022,17:00:00,VIA BASILE ERNESTO intersezione VIA PELLIGRA SALVATORE,"1",F,38.097967,13.346147,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Febbraio,Mercoledì,"16",16/02/2022,13:50:00,VIA BASILE ERNESTO in prossimità di G. VITO ARTALE,"1",F,38.100358,13.347435,si,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Febbraio,Giovedì,"17",17/02/2022,11:00:00,VIA BASILE ERNESTO altezza del civico 198,"1",F,38.100636,13.347593,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Marzo,Giovedì,"10",10/03/2022,15:50:00,VIALE REGIONE SICILIANA S.E. carr. centrale dir tp bonagia,"1",F,38.093316,13.340307,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Marzo,Martedì,"22",22/03/2022,15:35:00,VIA BASILE ERNESTO altezza del civico 228,"1",F,38.095754,13.342769,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Aprile,Martedì,"5",05/04/2022,18:00:00,VIA BASILE ERNESTO altezza (di fronte),"0",C,38.103199,13.349103,si...?,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Aprile,Giovedì,"8",08/04/2022,00:50:00,VIA LI BASSI GIUSEPPE intersezione con VIA LUCCHINI FRANCO,"0",M,38.100233,13.352905,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Aprile,Venerdì,"22",22/04/2022,07:20:00,VIALE REGIONE SICILIANA altezza ponte Corleone,"0",C,38.090087,13.344394,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Maggio,Domenica,"8",08/05/2022,17:00:00,VIA ROCCELLA GUSTAVO intersezione con VIA VITALI VINCENZO,"3",F,38.098539,13.350721,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Maggio,Sabato,"14",14/05/2022,18:00:00,VIA BASILE ERNESTO di fronte v Carm Raiti,"2",F,38.09733,13.345609,si,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Maggio,Martedì,"17",17/05/2022,15:35:00,VIA BASILE ERNESTO altezza Parking Basile,"0",C,38.098488,13.346161,si,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Maggio,Giovedì,"26",26/05/2022,07:50:00,VIA BASILE ERNESTO altezza (inters.) VIA DI BARTOLO VINCENZO,"1",F,38.099268,13.346835,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Giugno,Sabato,"4",04/06/2022,14:00:00,VIALE REGIONE SICILIANA S.E. altezza ponte Corleone,"2",F,38.090175,13.34425,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Giugno,Sabato,"4",04/06/2022,23:30:00,VIA BASILE ERNESTO altezza capolinea Amat,"1",F,38.097705,13.345653,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Giugno,Sabato,"11",11/06/2022,13:45:00,VIA ROCCELLA GUSTAVO nr. 72,"1",F,38.092857,13.346426,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Giugno,Lunedi,"13",13/06/2022,17:15:00,VIA BASILE ERNESTO altezza (inters.) VIA ARTALE VITO GEN.,"2",F,38.100317,13.347429,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Giugno,Giovedì,"16",16/06/2022,09:15:00,VIA BASILE ERNESTO intersezione VIA RAITI CARMELO,"1",F,38.097308,13.345617,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Giugno,Venerdì,"17",17/06/2022,11:30:00,VIA ROCCELLA GUSTAVO altezza del civico 281,"1",F,38.090961,13.343972,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Giugno,Sabato,"25",25/06/2022,17:40:00,VIA LI BASSI GIUSEPPE intersezione con VIA LUCCHINI FRANCO,"3",F,38.100223,13.3529,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Luglio,Giovedì,"14",14/07/2022,17:30:00,VIALE REGIONE SICILIANA S.E. di fronte al civico 1564,"0",C,38.092508,13.341055,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Agosto,Mercoledì,"3",03/08/2022,14:50:00,VIA BRASA altezza del civico 42,"1",F,38.107457,13.353693,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Agosto,Mercoledì,"10",10/08/2022,18:30:00,VIA ZACCO LUIGI intersezione VIA VERDINOIS ALBERTO,"0",C,38.094217,13.345485,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Agosto,Mercoledì,"11",11/08/2022,00:15:00,VIA BASILE ERNESTO s.n.c.,"2",F,38.107487,13.353695,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Agosto,Martedì,"16",16/08/2022,17:30:00,VIA BASILE ERNESTO in prossimità di via V. Artale,"0",C,38.100305,13.347409,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Agosto,Sabato,"27",27/08/2022,21:50:00,VIALE DELLE SCIENZE altezza EDIFICIO 19,"0",C,38.10443,13.349417,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Settembre,Mercoledì,"15",15/09/2022,02:30:00,VIA BASILE ERNESTO di fronte VIA C. RAITI,"0",C,38.097312,13.345604,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Settembre,Giovedì,"15",15/09/2022,10:00:00,VIA S.RAFFAELE ARCANGELO altezza del civico 53,"2",F,38.092139,13.348202,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Settembre,Mercoledì,"28",28/09/2022,11:45:00,VIA BASILE ERNESTO di fronte al civico 228,"2",F,38.095724,13.342738,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Ottobre,Domenica,"9",09/10/2022,18:45:00,VIA BASILE ERNESTO altezza rampa lt Cau,"2",F,38.094922,13.341362,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Ottobre,Lunedi,"17",17/10/2022,16:00:00,VIA CAU LUSSORIO altezza 5,"6",F,38.092548,13.344854,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Ottobre,Lunedi,"31",31/10/2022,15:30:00,VIA BASILE ERNESTO intersezione VIA PELLIGRA SALVATORE,"1",F,38.097926,13.346099,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Novembre,Martedì,"1",01/11/2022,14:05:00,VIA BASILE ERNESTO altezza CAPOLINEA AMAT,"1",F,38.097656,13.345634,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Novembre,Mercoledì,"2",02/11/2022,15:00:00,VIA BASILE ERNESTO in prossimità di DF. CIV. 104/A,"1",F,38.105628,13.351632,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Novembre,Mercoledì,"2",02/11/2022,15:30:00,VIALE REGIONE SICILIANA S.E. altezza by pass,"1",F,38.09559,13.336973,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
Novembre,Giovedì,"3",03/11/2022,15:30:00,VIA BASILE ERNESTO altezza (spec.) Architettura,"1",F,38.100767,13.347354,,"2","17",S.Rosalia,Montegrappa - S. Rosalia,IV,"4"
