Data;Ora;Luogo;Tipo Incidente;Feriti;Latitudine;Longitudine
13/01/2020;19:00;VIA INGHAM altezza (inters.) VIA CORLEONE SALVATORE;C;0;38,094008;13,392012
13/01/2020;20:10;VIA AURISPA GIOVANNI altezza del civico 95;F;1;38,126351;13,339642
13/01/2020;21:00;VIA FERRUZZA ENRICO altezza (spec.) sott.ponte indu;F;3;38,088963;13,405323
13/01/2020;22:50;VIA SERGIO PAPA I di fronte 12;F;1;38,147826;13,370623
13/01/2020;23:50;VIA GIAFAR EMIRO altezza PONTE;F;1;38,089852;13,384348
14/01/2020;12:40;VIA CAVOUR CAMILLO intersezione VIA VILLAERMOSA;F;1;38,121736;13,359835
14/01/2020;16:50;VIA SCIUTI GIUSEPPE intersezione VIA ARIOSTO LUDOVICO;F;1;38,13319;13,34277
14/01/2020;16:50;PIAZZA EINSTEIN ALBERT pressi lato mare;C;0;38,128787;13,330313
14/01/2020;19:40;VIA VITTORIO EMANUELE nr. 508;C;0;38,113363;13,35577
15/01/2020;07:30;VIALE REGIONE SICILIANA S.E. altezza ponte corleone;C;0;38,090001;13,344439
15/01/2020;08:20;VIA LANZA DI SCALEA GIUSEPPE altezza (inters.) VIA MORMINO IGNAZIO;F;1;38,175416;13,311358
15/01/2020;08:50;VIA ORETO altezza (inters.) VIA BUONRIPOSO;C;0;38,099242;13,37218
15/01/2020;11:50;VIALE DEL FANTE altezza (spec.) TEATRO VERDURA;F;1;38,160721;13,334628
15/01/2020;13:00;CORSO TUKORY pressi intersezione;F;2;38,108812;13,359839
15/01/2020;14:30;VIA PASUBIO intersezione VIA ISONZO;F;1;38,142002;13,342482
15/01/2020;15:30;VIALE MARIA SS. MEDIATRICE intersezione PIAZZA BARBARINO COSTANZO;F;2;38,101145;13,334695
16/01/2020;07:00;VIA BARACCA FRANCESCO altezza del civico 65;C;0;38,114094;13,296451
16/01/2020;13:00;VIA BELGIO in prossimit? di via dei nebrodi;F;1;38,150433;13,328955
16/01/2020;15:30;CORSO DEI MILLE nr. 953;C;0;38,096094;13,399624
16/01/2020;16:40;PIAZZA ZIINO OTTAVIO di fronte al civico 24;F;2;38,131042;13,337842
16/01/2020;18:50;VIALE REGIONE SICILIANA N.O. altezza (spec.) barone gomme;F;4;38,13638;13,331033
17/01/2020;00:15;VIA MESSINA MARINE altezza del civico 331;F;1;38,10418;13,39127
17/01/2020;02:10;VIALE DIANA altezza canc giusino;M;0;38,15795;13,343859
17/01/2020;06:45;VIALE REGIONE SICILIANA altezza (inters.) VIA TASCA LANZA;F;1;38,119404;13,328469
17/01/2020;08:45;VIALE STRASBURGO altezza (inters.) VIA BELGIO;C;0;38,15176;13,331144
17/01/2020;09:45;CORSO CALATAFIMI intersezione con VIA ACCASCINA MARIA;F;1;38,096485;13,31403
17/01/2020;11:15;VIA SERGIO PAPA I altezza del civico 44;C;0;38,150854;13,37071
17/01/2020;12:50;VIA VITTORIO EMANUELE intersezione VIA ROMA;F;1;38,116586;13,363606
17/01/2020;18:15;VIALE LAZIO altezza rampa direz. ct;F;1;38,13925;13,330902
17/01/2020;20:30;VIALE MARCHESE DI VILLABIANCA intersezione con VIA GARGALLO TOMMASO;F;1;38,138729;13,34931
17/01/2020;21:00;VIALE DEL FANTE intersezione con PIAZZA SALERNO ALFREDO;F;1;38,154952;13,338861
18/01/2020;02:30;VIALE EMILIA altezza (inters.) VIA AUSONIA;C;0;38,146309;13,337692
18/01/2020;06:30;VIA CAMPISI GIOVANNI di fronte al civico 153;F;1;38,098915;13,371273
18/01/2020;07:45;VIA SERRADIFALCO altezza del civico 4;F;1;38,120999;13,340364
18/01/2020;10:30;VIA SUNSERI GIUSEPPE altezza p carr  10534;F;1;38,108003;13,338962
18/01/2020;13:45;VIA CASTELLANA altezza del civico 85;F;1;38,125707;13,310314
18/01/2020;13:50;VIA LIGURIA intersezione con VIA VALDEMONE;F;1;38,146382;13,335588
18/01/2020;17:22;VIA STABILE MARIANO di fronte al civico 203;C;0;38,122357;13,35613
18/01/2020;18:55;VIA BASILE ERNESTO altezza CAPOL.AMAT''BAL;F;1;38,098034;13,345906
18/01/2020;19:40;VIALE LEONARDO DA VINCI intersezione VIA UDITORE;F;1;38,128182;13,327365
19/01/2020;00:50;VIA PEREZ FRANCESCO PAOLO intersezione VIA BERGAMO;F;2;38,103589;13,368045
19/01/2020;13:10;VIA LA FARINA GIUSEPPE intersezione VIA SAMMARTINO;C;0;38,128299;13,347975
19/01/2020;13:45;VIA VILLAGRAZIA intersezione con VIA S.FRANCESCO DI SALES;F;1;38,087009;13,344683
19/01/2020;18:00;VICOLO DELLO ZINGARO s.n.c.;F;1;38,11359;13,35731
19/01/2020;22:30;VIALE DE GASPERI ALCIDE altezza del civico 90;F;1;38,149191;13,333572
20/01/2020;02:45;VIA ORSINI VINCENZO intersezione VIA ALBANESE ENRICO;F;2;38,130633;13,356113
20/01/2020;07:30;VIA STROMBOLI intersezione VIA LENTINI;F;2;38,118863;13,326425
20/01/2020;11:45;VIALE MICHELANGELO altezza del civico 934;C;0;38,137235;13,320289
20/01/2020;12:45;VIA ARCOLEO GIUSEPPE altezza del civico 7;F;1;38,104779;13,333857
20/01/2020;16:00;VIA CASTELLANA altezza del civico 170;F;1;38,125491;13,294012
20/01/2020;22:15;VIA CARELLA intersezione VIA BENTIVEGNA FRANCESCO;C;0;38,123252;13,360754
20/01/2020;23:50;VIA NINA SICILIANA di fronte Ist pio la torr;C;0;38,116083;13,332309
21/01/2020;08:10;PIAZZA ORLANDO VITTORIO EMANUELE altezza tribunale;C;0;38,119315;13,350958
21/01/2020;09:00;VIALE GALILEO GALILEI pressi v.le Lazio;C;0;38,14008;13,332212
21/01/2020;10:30;CORSO CALATAFIMI altezza del civico 258/a;C;0;38,106365;13,338452
21/01/2020;12:00;VIA MESSINA MARINE altezza (inters.) VIA ALLEGRA CARMELO;F;2;38,106722;13,384414
21/01/2020;14:00;VIA BASILE ERNESTO di fronte 194;F;1;38,101219;13,347868
21/01/2020;15:15;VIA MOGIA intersezione con VIA RANZANO PIETRO;F;1;38,117647;13,349328
21/01/2020;15:15;VIA DEGLI EMIRI altezza del civico 10;F;1;38,114978;13,331678
21/01/2020;16:45;VIALE PIAZZA ARMERINA intersezione con LARGO ISPICA;F;1;38,130008;13,295357
21/01/2020;17:25;VIA CRISPI FRANCESCO altezza (inters.) VIA GRAVINA BENEDETTO;C;0;38,127437;13,362124
21/01/2020;19:15;VIA TURR STEFANO intersezione VIA CASELLA ALFREDO;F;1;38,127896;13,341214
22/01/2020;10:00;VIA PINDEMONTE nr. 71;F;1;38,111064;13,339676
22/01/2020;14:50;VIA PAOLO VI PAPA in prossimit? di rampolla;F;1;38,145731;13,367946
22/01/2020;15:00;VIA MIGLIACCIO MARIANO altezza (inters.) LARGO SAN JOSEMARIA ESCRIVA';C;0;38,128249;13,332435
22/01/2020;17:15;VIALE STRASBURGO altezza del civico 121;C;0;38,152804;13,330436
22/01/2020;18:35;VIA BALSAMO PAOLO intersezione con CORSO DEI MILLE;F;1;38,110578;13,369023
22/01/2020;19:30;VIALE REGIONE SICILIANA altezza del civico 571 carr. lat.;C;0;38,131933;13,330415
22/01/2020;20:10;VIALE DIANA altezza (spec.) nucleo ippomont;C;0;38,152545;13,34931
23/01/2020;02:10;VIA LAUDICINA ANTONINO intersezione con CORSO DEI MILLE;C;0;38,092555;13,40976
23/01/2020;08:30;VIA TERRASANTA intersezione con VIA RANDAZZO CAMILLO;F;1;38,129389;13,345138
23/01/2020;09:25;PIAZZA MANDORLE nr. 1;F;1;38,187982;13,288869
23/01/2020;10:20;VIA BASILE ERNESTO di fronte al civico 102;F;1;38,105787;13,352116
23/01/2020;11:00;VIALE DEL FANTE a mt. 200 di Case Roc;F;1;38,155859;13,338435
23/01/2020;14:10;PIAZZA PRINCIPE DI CAMPOREALE altezza del civico 102;F;1;38,118928;13,341881
23/01/2020;17:15;VIA DI MARCO VINCENZO altezza del civico 41;C;0;38,137019;13,349539
23/01/2020;18:40;VIA PITRE' GIUSEPPE altezza del civico 134/B;F;1;38,110529;13,327446
23/01/2020;19:00;PIAZZA CASTELNUOVO di fronte al civico 50;F;1;38,124795;13,354804
23/01/2020;19:00;VIA RESUTTANA altezza del civico 348;F;1;38,151547;13,337047
24/01/2020;08:30;VIA FOSSI AI intersezione VIA CICHE' FRANCESCO;C;0;38,138117;13,365127
24/01/2020;10:30;VIA SPERONE altezza del civico 413/F;F;2;38,099466;13,398461
24/01/2020;14:00;VIA SCIUTI GIUSEPPE altezza (inters.) VIA ARIOSTO LUDOVICO;F;1;38,133194;13,342781
24/01/2020;15:30;VIA CENTORBE nr. 10;C;0;38,134374;13,305598
24/01/2020;19:50;VIA DANTE intersezione VIA NARBONE ALESSIO;C;0;38,122099;13,343907
25/01/2020;02:30;VIA LA FARINA GIUSEPPE intersezione con VIA PRINCIPE DI VILLAFRANCA;C;0;38,128985;13,349655
25/01/2020;06:00;VIA NEBRODI(DEI) altezza (inters.) VIA DELLE MADONIE;C;0;38,146891;13,331156
25/01/2020;06:30;VIA CALA altezza via cassari;F;1;38,118877;13,367085
25/01/2020;10:00;VIA SUOR MARIA DOLORES DI MAJO altezza (spec.) vicolo parrini;C;0;38,132051;13,320809
25/01/2020;11:00;VIA SFERRACAVALLO altezza (inters.) VIA DELL'ARANCIO;F;3;38,195887;13,279613
25/01/2020;12:40;VIALE DIANA altezza (inters.) PIAZZA LEONI;F;2;38,146874;13,344013
25/01/2020;20:30;VIA MESSINA MARINE altezza del civico 449;C;0;38,099824;13,403581
26/01/2020;02:15;VIA CARINI ISIDORO intersezione con VIA ARCHIMEDE;F;1;38,129104;13,355701
26/01/2020;04:00;VIA MESSINA MARINE altezza (inters.) VIA DIAZ ARMANDO M.LLO;F;1;38,102757;13,394917
26/01/2020;09:15;CORSO RE RUGGERO intersezione CORSO TUKORY;C;0;38,107815;13,355165
26/01/2020;13:30;VIA CALA altezza p. delle Dogane;F;1;38,119242;13,369102
26/01/2020;15:50;VIA ALEO COSIMO intersezione con VIA NINA SICILIANA;F;1;38,115943;13,331927
26/01/2020;21:00;VIA MESSINA MARINE di fronte carabinieri;F;1;38,102267;13,396271
27/01/2020;03:00;VIALE DELL'OLIMPO di fronte CENTRO OLIMPO;F;2;38,188911;13,31264
27/01/2020;06:00;PIAZZA NISCEMI altezza del civico 7;C;0;38,164053;13,331817
27/01/2020;08:00;VIALE STRASBURGO altezza del civico 247;F;2;38,158927;13,324502
27/01/2020;10:00;VIA CASTELLANA altezza del civico 316;F;2;38,125908;13,287772
27/01/2020;11:00;VIA LEONCAVALLO RUGGIERO altezza del civico 9;F;1;38,130002;13,338568
27/01/2020;11:00;VIA DIAZ ARMANDO M.LLO intersezione con VIA FUNAIOLI GINO;F;1;38,101154;13,393614
27/01/2020;11:15;VIA SETTEMBRINI LUIGI altezza del civico 13 (df Conad);C;0;38,12379;13,330634
27/01/2020;12:10;CORSO ALBERTO AMEDEO altezza del civico 222;C;0;38,118519;13,350881
27/01/2020;14:55;VIA LASCARIS COSTANTINO intersezione con VIA IMERA;F;1;38,117026;13,348846
27/01/2020;22:52;VIA MESSINA MARINE di fronte al civico 184;F;1;38,101452;13,399053
28/01/2020;07:30;VIA GIOTTO intersezione PIAZZA MALASPINA;F;1;38,131339;13,337786
28/01/2020;09:10;VIA CRISPI FRANCESCO altezza SAMMUZZO;C;0;38,125005;13,363785
28/01/2020;09:30;VIA RUFFO DI CALABRIA altezza del civico 33;F;2;38,11212;13,295441
28/01/2020;14:00;VIA MADONIA VINCENZO altezza (inters.) VIA ROCCELLA GUSTAVO;F;1;38,098542;13,350735
28/01/2020;14:10;VIA LA MARMORA ALESSANDRO intersezione VIA MARCHESE DI ROCCAFORTE;F;1;38,142527;13,345752
28/01/2020;15:50;PIAZZA GIULIO CESARE altezza del civico 44;F;1;38,110125;13,365821
28/01/2020;16:35;VIA SAVONAROLA GIROLAMO altezza del civico 5/D;C;0;38,121323;13,320953
28/01/2020;17:50;VIALE MARCHESE DI VILLABIANCA altezza del civico 205;F;2;38,141051;13,348224
28/01/2020;19:30;VIA VILLAGRAZIA altezza del civico 73;F;1;38,095686;13,364468
29/01/2020;12:15;VIA ROMA intersezione VIA EPICARMO;F;1;38,119851;13,361984
29/01/2020;14:50;VIALE DEL FANTE altezza ingres favorita;C;0;38,14718;13,343875
29/01/2020;15:35;VIA SCIUTI GIUSEPPE in prossimit? di VIA P. P.VASTA;F;1;38,137959;13,339832
29/01/2020;16:30;VIA MAQUEDA intersezione con PIAZZA PRETORIA;F;1;38,115347;13,361714
30/01/2020;05:00;VIA PAZIENZA intersezione con VIA ASTEROPE;C;0;38,20011;13,318274
30/01/2020;10:15;PIAZZA LEONI nr. 71;C;0;38,145509;13,345447
30/01/2020;21:05;VIA CALA in prossimit? di PORTA FELICE;F;1;38,119707;13,37138
31/01/2020;00:30;VIA CATANIA nr. 19/B;C;0;38,127635;13,348737
31/01/2020;02:30;VIA D'ALVISE PIETRO in prossimit? di bianchini;C;0;38,180853;13,31059
31/01/2020;02:50;CORSO ALBERTO AMEDEO di fronte al civico 114;C;0;38,116189;13,350926
31/01/2020;10:30;VIALE PERTINI SANDRO intersezione VIA TRAPANI PESCIA;F;1;38,175565;13,322757
31/01/2020;10:40;VIA CRISPI FRANCESCO nr. 153;F;1;38,1257;13,363427
31/01/2020;14:15;VIA MARINUZZI ANTONIO intersezione VIA D'ONDES REGGIO VITO;F;1;38,108255;13,363556
31/01/2020;14:15;VIALE REGIONE SICILIANA N.O. nr. 4296;F;3;38,138278;13,330651
31/01/2020;14:20;VIALE MARIA SS. MEDIATRICE intersezione VIA LA VALLE RAFFAELE;F;3;38,101311;13,33462
31/01/2020;19:20;VIA DELLA LIBERTA' intersezione con VIA DUCA DELLA VERDURA;F;1;38,133717;13,349794
01/02/2020;07:00;VIALE ERCOLE altezza IPPODROMO;R;1;38,153076;13,346683
01/02/2020;09:50;VIA PATTI altezza CHIESA S.F.NERI;R;0;38,171044;13,319441
01/02/2020;16:20;VIALE REGIONE SICILIANA S.E. carr. laterale Dir.ct civ.2131;F;1;38,122482;13,329295
01/02/2020;17:45;VIALE STRASBURGO altezza del civico 99/101;F;1;38,152316;13,330896
01/02/2020;18:00;VIA RIZZO AMMIRAGLIO intersezione VIA DON ORIONE;F;1;38,14379;13,361719
01/02/2020;18:09;VIA DELL'ANTILOPE in prossimit? di della giraffa;F;1;38,082599;13,356886
02/02/2020;04:30;VIA CALA in prossimit? di Ist. Nautico;C;0;38,119878;13,370378
02/02/2020;05:30;CORSO CALATAFIMI altezza del civico 566;C;0;38,100853;13,324837
02/02/2020;07:20;VIALE DE GASPERI ALCIDE intersezione con VIA AUSONIA;C;0;38,149761;13,334613
02/02/2020;11:50;PIAZZA ZISA altezza .;C;0;38,115959;13,341291
02/02/2020;17:00;VIA ASSORO altezza del civico 25;F;2;38,132721;13,30066
02/02/2020;18:40;VIALE REGIONE SICILIANA S.E. altezza (inters.) VIA MULE' GIUSEPPE;F;1;38,101579;13,330946
03/02/2020;01:00;VIA CRISPI FRANCESCO altezza del civico 85;C;0;38,12358;13,364752
03/02/2020;06:40;VIA ERRANTE VINCENZO intersezione con VIA PEREZ FRANCESCO PAOLO;F;2;38,10795;13,365232
03/02/2020;07:30;VIALE REGIONE SICILIANA N.O. carr. laterale VIA PAISIELLO;C;0;38,134479;13,330763
03/02/2020;11:15;VIA TURRISI NICOLO' altezza (inters.) VIA GOETHE;F;1;38,119873;13,350743
03/02/2020;14:00;VIA DELLA LIBERTA' intersezione VIA PARISI ENRICO;F;1;38,126604;13,354167
03/02/2020;14:30;VIA MURA DI PORTA MONTALTO angolo VIA DEI BENEDETTINI;F;1;38,108519;13,355857
03/02/2020;16:15;VIA WAGNER RICCARDO di fronte al civico 77;F;1;38,125108;13,357854
03/02/2020;18:00;VIA ROMA altezza (inters.) VIA GRAVINA AMMIRAGLIO;F;1;38,125042;13,358683
03/02/2020;20:45;VIA ORETO di fronte al civico 339;F;1;38,099465;13,371961
04/02/2020;02:40;VIA MESSINA MARINE altezza del civico 813b;C;0;38,095011;13,433176
04/02/2020;09:00;VIALE REGIONE SICILIANA N.O. intersezione con VIALE LAZIO;C;0;38,139702;13,331798
04/02/2020;09:45;VIA BORREMANS GUGLIELMO altezza (inters.) VIA PRINCIPE DI PALAGONIA;C;0;38,133261;13,336855
04/02/2020;10:30;VIA MORTILLARO VINCENZO intersezione con VIA MARINUZZI ANTONIO;F;1;38,104421;13,366045
04/02/2020;11:55;VIA S.LORENZO nr. 269;C;0;38,164671;13,318543
04/02/2020;13:40;VIA PACINOTTI ANTONIO di fronte al civico 44;F;1;38,129037;13,335468
04/02/2020;14:55;VIA BAGNERA GIUSEPPE altezza del civico 16;F;1;38,081501;13,366195
04/02/2020;16:15;VIA NOTARBARTOLO EMANUELE intersezione con LARGO ABETI (DEGLI);F;1;38,133536;13,349191
04/02/2020;17:45;VIA VOLTA ALESSANDRO intersezione VIA FERRARIS GALILEO;C;0;38,123637;13,365375
04/02/2020;18:30;VIALE DEL FANTE altezza del civico 58;F;1;38,150267;13,342119
04/02/2020;19:15;VIA NINA SICILIANA intersezione VIA GUBBIO;F;1;38,117487;13,33165
04/02/2020;20:00;VIA LUTHER KING MARTIN intersezione VIA DELLA FAVORITA;F;3;38,14764;13,354532
04/02/2020;22:00;VIALE DEL FANTE intersezione VIA VILLA ROSATO;F;3;38,161544;13,334049
05/02/2020;00:30;VIA EUGENIO L'EMIRO altezza del civico 66;C;0;38,1142;13,33779
05/02/2020;03:15;VIA CALA di fronte al civico 60;F;1;38,11878;13,368369
